date,titleSlug,questionFrontendId,title,difficulty,acRate
2020-08-01,logger-rate-limiter,359,Logger Rate Limiter,Easy,76.0
2020-08-08,closest-binary-search-tree-value,270,Closest Binary Search Tree Value,Easy,51.4
2020-08-15,find-permutation,484,Find Permutation,Medium,66.9
2020-08-22,the-maze,490,The Maze,Medium,58.2
2020-08-29,robot-room-cleaner,489,Robot Room Cleaner,Hard,76.8
2020-09-01,read-n-characters-given-read4,157,Read N Characters Given Read4,Easy,41.6
2020-09-08,moving-average-from-data-stream,346,Moving Average from Data Stream,Easy,78.6
2020-09-15,inorder-successor-in-bst-ii,510,Inorder Successor in BST II,Medium,60.9
2020-09-22,insert-into-a-sorted-circular-linked-list,708,Insert into a Sorted Circular Linked List,Medium,36.4
2020-09-29,word-squares,425,Word Squares,Hard,53.4
2020-10-01,maximum-distance-in-arrays,624,Maximum Distance in Arrays,Medium,42.4
2020-10-08,two-sum-iii-data-structure-design,170,Two Sum III - Data structure design,Easy,38.2
2020-10-15,meeting-rooms-ii,253,Meeting Rooms II,Medium,51.4
2020-10-22,search-in-a-sorted-array-of-unknown-size,702,Search in a Sorted Array of Unknown Size,Medium,72.2
2020-10-29,encode-n-ary-tree-to-binary-tree,431,Encode N-ary Tree to Binary Tree,Hard,79.6
2020-11-01,meeting-rooms,252,Meeting Rooms,Easy,58.2
2020-11-08,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,61.8
2020-11-15,remove-interval,1272,Remove Interval,Medium,66.1
2020-11-22,longest-substring-with-at-most-two-distinct-characters,159,Longest Substring with At Most Two Distinct Characters,Medium,55.5
2020-11-29,maximum-average-subarray-ii,644,Maximum Average Subarray II,Hard,36.8
2020-12-01,shortest-word-distance,243,Shortest Word Distance,Easy,65.4
2020-12-08,missing-ranges,163,Missing Ranges,Easy,34.0
2020-12-15,plus-one-linked-list,369,Plus One Linked List,Medium,61.1
2020-12-22,find-nearest-right-node-in-binary-tree,1602,Find Nearest Right Node in Binary Tree,Medium,75.5
2020-12-29,longest-substring-with-at-most-k-distinct-characters,340,Longest Substring with At Most K Distinct Characters,Medium,48.9
2021-01-01,palindrome-permutation,266,Palindrome Permutation,Easy,67.5
2021-01-08,find-root-of-n-ary-tree,1506,Find Root of N-Ary Tree,Medium,78.4
2021-01-15,nested-list-weight-sum,339,Nested List Weight Sum,Medium,83.9
2021-01-22,one-edit-distance,161,One Edit Distance,Medium,34.3
2021-01-29,number-of-corner-rectangles,750,Number Of Corner Rectangles,Medium,67.7
2021-02-01,squirrel-simulation,573,Squirrel Simulation,Medium,57.2
2021-02-08,number-of-distinct-islands,694,Number of Distinct Islands,Medium,61.4
2021-02-15,kill-process,582,Kill Process,Medium,69.5
2021-02-22,find-the-celebrity,277,Find the Celebrity,Medium,47.4
2021-03-01,single-row-keyboard,1165,Single-Row Keyboard,Easy,87.5
2021-03-08,strobogrammatic-number,246,Strobogrammatic Number,Easy,47.7
2021-03-15,construct-binary-tree-from-string,536,Construct Binary Tree from String,Medium,57.1
2021-03-22,find-smallest-common-element-in-all-rows,1198,Find Smallest Common Element in All Rows,Medium,76.5
2021-03-29,parallel-courses,1136,Parallel Courses,Medium,61.4
2021-04-01,largest-unique-number,1133,Largest Unique Number,Easy,69.1
2021-04-08,inorder-successor-in-bst,285,Inorder Successor in BST,Medium,50.0
2021-04-15,minimum-swaps-to-group-all-1s-together,1151,Minimum Swaps to Group All 1's Together,Medium,60.2
2021-04-22,missing-number-in-arithmetic-progression,1228,Missing Number In Arithmetic Progression,Easy,51.9
2021-04-29,meeting-scheduler,1229,Meeting Scheduler,Medium,55.0
2021-05-01,number-of-connected-components-in-an-undirected-graph,323,Number of Connected Components in an Undirected Graph,Medium,63.0
2021-05-08,put-boxes-into-the-warehouse-i,1564,Put Boxes Into the Warehouse I,Medium,67.4
2021-05-15,minimum-knight-moves,1197,Minimum Knight Moves,Medium,40.6
2021-05-22,design-tic-tac-toe,348,Design Tic-Tac-Toe,Medium,58.1
2021-05-29,minimum-cost-to-connect-sticks,1167,Minimum Cost to Connect Sticks,Medium,70.1
2021-06-01,paint-house,256,Paint House,Medium,62.7
2021-06-08,the-maze-ii,505,The Maze II,Medium,53.5
2021-06-15,shortest-distance-to-target-color,1182,Shortest Distance to Target Color,Medium,55.4
2021-06-22,all-paths-from-source-lead-to-destination,1059,All Paths from Source Lead to Destination,Medium,37.6
2021-06-29,armstrong-number,1134,Armstrong Number,Easy,77.8
2021-07-01,find-leaves-of-binary-tree,366,Find Leaves of Binary Tree,Medium,80.6
2021-07-08,reverse-words-in-a-string-ii,186,Reverse Words in a String II,Medium,54.8
2021-07-15,range-addition,370,Range Addition,Medium,71.7
2021-07-22,alien-dictionary,269,Alien Dictionary,Hard,35.9
2021-07-29,binary-tree-longest-consecutive-sequence-ii,549,Binary Tree Longest Consecutive Sequence II,Medium,49.5
2021-08-01,optimize-water-distribution-in-a-village,1168,Optimize Water Distribution in a Village,Hard,64.8
2021-08-08,paint-fence,276,Paint Fence,Medium,46.8
2021-08-15,paint-house-ii,265,Paint House II,Hard,54.9
2021-08-22,graph-valid-tree,261,Graph Valid Tree,Medium,48.3
2021-08-29,equal-tree-partition,663,Equal Tree Partition,Medium,41.5
2021-09-01,maximum-average-subtree,1120,Maximum Average Subtree,Medium,66.6
2021-09-08,best-meeting-point,296,Best Meeting Point,Hard,61.0
2021-09-15,minimize-max-distance-to-gas-station,774,Minimize Max Distance to Gas Station,Hard,52.4
2021-09-22,shortest-distance-from-all-buildings,317,Shortest Distance from All Buildings,Hard,43.4
2021-09-29,maximum-size-subarray-sum-equals-k,325,Maximum Size Subarray Sum Equals k,Medium,49.6
2021-10-01,leftmost-column-with-at-least-a-one,1428,Leftmost Column with at Least a One,Medium,54.5
2021-10-08,valid-palindrome-iii,1216,Valid Palindrome III,Hard,49.4
2021-10-15,smallest-rectangle-enclosing-black-pixels,302,Smallest Rectangle Enclosing Black Pixels,Hard,59.0
2021-10-22,campus-bikes-ii,1066,Campus Bikes II,Medium,55.2
2021-10-29,buildings-with-an-ocean-view,1762,Buildings With an Ocean View,Medium,79.9
2021-11-01,divide-chocolate,1231,Divide Chocolate,Hard,58.8
2021-11-08,word-squares,425,Word Squares,Hard,53.4
2021-11-15,diameter-of-n-ary-tree,1522,Diameter of N-Ary Tree,Medium,74.4
2021-11-22,first-unique-number,1429,First Unique Number,Medium,53.8
2021-11-29,largest-bst-subtree,333,Largest BST Subtree,Medium,44.0
2021-12-01,insert-into-a-sorted-circular-linked-list,708,Insert into a Sorted Circular Linked List,Medium,36.4
2021-12-08,nested-list-weight-sum-ii,364,Nested List Weight Sum II,Medium,64.9
2021-12-15,maximum-distance-in-arrays,624,Maximum Distance in Arrays,Medium,42.4
2021-12-22,string-transforms-into-another-string,1153,String Transforms Into Another String,Hard,35.0
2021-12-29,design-a-leaderboard,1244,Design A Leaderboard,Medium,67.9
2022-01-01,maximum-vacation-days,568,Maximum Vacation Days,Hard,45.8
2022-01-08,design-in-memory-file-system,588,Design In-Memory File System,Hard,48.1
2022-01-15,meeting-rooms-ii,253,Meeting Rooms II,Medium,51.4
2022-01-22,find-nearest-right-node-in-binary-tree,1602,Find Nearest Right Node in Binary Tree,Medium,75.5
2022-01-29,group-shifted-strings,249,Group Shifted Strings,Medium,65.9
2022-02-01,the-earliest-moment-when-everyone-become-friends,1101,The Earliest Moment When Everyone Become Friends,Medium,65.3
2022-02-08,number-of-ships-in-a-rectangle,1274,Number of Ships in a Rectangle,Hard,68.7
2022-02-15,find-k-length-substrings-with-no-repeated-characters,1100,Find K-Length Substrings With No Repeated Characters,Medium,74.7
2022-02-22,fixed-point,1064,Fixed Point,Easy,64.1
2022-03-01,clone-n-ary-tree,1490,Clone N-ary Tree,Medium,83.1
2022-03-08,strobogrammatic-number-ii,247,Strobogrammatic Number II,Medium,52.5
2022-03-15,campus-bikes,1057,Campus Bikes,Medium,58.6
2022-03-22,sparse-matrix-multiplication,311,Sparse Matrix Multiplication,Medium,68.2
2022-03-29,path-with-maximum-minimum-value,1102,Path With Maximum Minimum Value,Medium,53.7
2022-04-01,brace-expansion,1087,Brace Expansion,Medium,66.4
2022-04-08,minimize-product-sum-of-two-arrays,1874,Minimize Product Sum of Two Arrays,Medium,89.4
2022-04-15,binary-search-tree-iterator-ii,1586,Binary Search Tree Iterator II,Medium,65.1
2022-04-22,design-file-system,1166,Design File System,Medium,63.0
2022-04-29,encode-n-ary-tree-to-binary-tree,431,Encode N-ary Tree to Binary Tree,Hard,79.6
2022-05-01,find-permutation,484,Find Permutation,Medium,66.9
2022-05-08,robot-room-cleaner,489,Robot Room Cleaner,Hard,76.8
2022-05-15,number-of-distinct-islands,694,Number of Distinct Islands,Medium,61.4
2022-05-22,find-the-celebrity,277,Find the Celebrity,Medium,47.4
2022-05-29,parallel-courses,1136,Parallel Courses,Medium,61.4
2022-06-01,minimum-knight-moves,1197,Minimum Knight Moves,Medium,40.6
2022-06-08,minimum-swaps-to-group-all-1s-together,1151,Minimum Swaps to Group All 1's Together,Medium,60.2
2022-06-15,word-abbreviation,527,Word Abbreviation,Hard,61.1
2022-06-22,meeting-scheduler,1229,Meeting Scheduler,Medium,55.0
2022-06-29,put-boxes-into-the-warehouse-i,1564,Put Boxes Into the Warehouse I,Medium,67.4
2022-07-01,paint-house,256,Paint House,Medium,62.7
2022-07-08,inorder-successor-in-bst-ii,510,Inorder Successor in BST II,Medium,60.9
2022-07-15,shortest-distance-to-target-color,1182,Shortest Distance to Target Color,Medium,55.4
2022-07-22,all-paths-from-source-lead-to-destination,1059,All Paths from Source Lead to Destination,Medium,37.6
2022-07-29,flatten-2d-vector,251,Flatten 2D Vector,Medium,49.6
2022-08-01,find-leaves-of-binary-tree,366,Find Leaves of Binary Tree,Medium,80.6
2022-08-08,binary-tree-vertical-order-traversal,314,Binary Tree Vertical Order Traversal,Medium,54.8
2022-08-15,dot-product-of-two-sparse-vectors,1570,Dot Product of Two Sparse Vectors,Medium,89.8
2022-08-22,binary-tree-longest-consecutive-sequence-ii,549,Binary Tree Longest Consecutive Sequence II,Medium,49.5
2022-08-29,the-maze-ii,505,The Maze II,Medium,53.5
2022-09-01,binary-tree-longest-consecutive-sequence,298,Binary Tree Longest Consecutive Sequence,Medium,53.6
2022-09-08,design-hit-counter,362,Design Hit Counter,Medium,68.7
2022-09-15,longest-substring-with-at-most-two-distinct-characters,159,Longest Substring with At Most Two Distinct Characters,Medium,55.5
2022-09-22,remove-interval,1272,Remove Interval,Medium,66.1
2022-09-29,kill-process,582,Kill Process,Medium,69.5
2022-10-01,lonely-pixel-i,531,Lonely Pixel I,Medium,62.3
2022-10-08,max-stack,716,Max Stack,Hard,45.1
2022-10-15,similar-rgb-color,800,Similar RGB Color,Easy,67.4
2022-10-22,best-meeting-point,296,Best Meeting Point,Hard,61.0
2022-10-29,max-consecutive-ones-ii,487,Max Consecutive Ones II,Medium,50.4
2022-11-01,find-smallest-common-element-in-all-rows,1198,Find Smallest Common Element in All Rows,Medium,76.5
2022-11-08,nested-list-weight-sum,339,Nested List Weight Sum,Medium,83.9
2022-11-15,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,61.8
2022-11-22,strobogrammatic-number,246,Strobogrammatic Number,Easy,47.7
2022-11-29,valid-palindrome-iii,1216,Valid Palindrome III,Hard,49.4
2022-12-01,single-row-keyboard,1165,Single-Row Keyboard,Easy,87.5
2022-12-08,number-of-connected-components-in-an-undirected-graph,323,Number of Connected Components in an Undirected Graph,Medium,63.0
2022-12-15,campus-bikes-ii,1066,Campus Bikes II,Medium,55.2
2022-12-22,minimum-cost-to-connect-sticks,1167,Minimum Cost to Connect Sticks,Medium,70.1
2022-12-29,leftmost-column-with-at-least-a-one,1428,Leftmost Column with at Least a One,Medium,54.5
2023-01-01,confusing-number,1056,Confusing Number,Easy,48.8
2023-01-08,minimum-health-to-beat-game,2214,Minimum Health to Beat Game,Medium,57.7
2023-01-15,find-the-index-of-the-large-integer,1533,Find the Index of the Large Integer,Medium,56.1
2023-01-22,confusing-number-ii,1088,Confusing Number II,Hard,47.2
2023-01-29,game-of-nim,1908,Game of Nim,Medium,63.1
2023-02-01,sentence-similarity,734,Sentence Similarity,Easy,44.4
2023-02-08,wiggle-sort,280,Wiggle Sort,Medium,67.7
2023-02-15,number-of-islands-ii,305,Number of Islands II,Hard,39.9
2023-02-22,handshakes-that-dont-cross,1259,Handshakes That Don't Cross,Hard,59.6
2023-03-01,valid-word-square,422,Valid Word Square,Easy,41.3
2023-03-08,shortest-way-to-form-string,1055,Shortest Way to Form String,Medium,60.3
2023-03-15,clone-binary-tree-with-random-pointer,1485,Clone Binary Tree With Random Pointer,Medium,80.6
2023-03-22,web-crawler,1236,Web Crawler,Medium,67.9
2023-03-29,4-keys-keyboard,651,4 Keys Keyboard,Medium,55.9
2023-04-01,shortest-word-distance-iii,245,Shortest Word Distance III,Medium,58.5
2023-04-08,find-anagram-mappings,760,Find Anagram Mappings,Easy,83.7
2023-04-15,the-most-similar-path-in-a-graph,1548,The Most Similar Path in a Graph,Hard,59.2
2023-04-22,minimum-window-subsequence,727,Minimum Window Subsequence,Hard,43.5
2023-04-29,guess-the-majority-in-a-hidden-array,1538,Guess the Majority in a Hidden Array,Medium,69.8
2023-05-01,index-pairs-of-a-string,1065,Index Pairs of a String,Easy,67.5
2023-05-08,sparse-matrix-multiplication,311,Sparse Matrix Multiplication,Medium,68.2
2023-05-15,paint-house-ii,265,Paint House II,Hard,54.9
2023-05-22,meeting-rooms-ii,253,Meeting Rooms II,Medium,51.4
2023-05-29,design-tic-tac-toe,348,Design Tic-Tac-Toe,Medium,58.1
2023-06-01,toss-strange-coins,1230,Toss Strange Coins,Medium,56.2
2023-06-08,check-if-a-number-is-majority-element-in-a-sorted-array,1150,Check If a Number Is Majority Element in a Sorted Array,Easy,58.9
2023-06-15,missing-ranges,163,Missing Ranges,Easy,34.0
2023-06-22,two-sum-bsts,1214,Two Sum BSTs,Medium,67.2
2023-06-29,count-univalue-subtrees,250,Count Univalue Subtrees,Medium,56.5
2023-07-01,optimal-account-balancing,465,Optimal Account Balancing,Hard,49.6
2023-07-08,longest-substring-with-at-most-k-distinct-characters,340,Longest Substring with At Most K Distinct Characters,Medium,48.9
2023-07-15,lowest-common-ancestor-of-a-binary-tree-ii,1644,Lowest Common Ancestor of a Binary Tree II,Medium,64.6
2023-07-22,ternary-expression-parser,439,Ternary Expression Parser,Medium,61.0
2023-07-29,missing-element-in-sorted-array,1060,Missing Element in Sorted Array,Medium,57.2
2023-08-01,minimum-costs-using-the-train-line,2361,Minimum Costs Using the Train Line,Hard,78.8
2023-08-08,encode-and-decode-strings,271,Encode and Decode Strings,Medium,47.1
2023-08-15,the-maze,490,The Maze,Medium,58.2
2023-08-22,candy-crush,723,Candy Crush,Medium,76.9
2023-08-29,maximum-number-of-ones,1183,Maximum Number of Ones,Hard,68.0
2023-09-01,minimum-time-to-build-blocks,1199,Minimum Time to Build Blocks,Hard,45.8
2023-09-08,rearrange-string-k-distance-apart,358,Rearrange String k Distance Apart,Hard,38.9
2023-09-15,parallel-courses,1136,Parallel Courses,Medium,61.4
2023-09-22,number-of-valid-subarrays,1063,Number of Valid Subarrays,Hard,79.1
2023-09-29,count-strictly-increasing-subarrays,2393,Count Strictly Increasing Subarrays,Medium,74.9
2023-10-01,implement-trie-ii-prefix-tree,1804,Implement Trie II (Prefix Tree),Medium,61.4
2023-10-08,the-maze-ii,505,The Maze II,Medium,53.5
2023-10-15,maximum-number-of-books-you-can-take,2355,Maximum Number of Books You Can Take,Hard,40.5
2023-10-22,correct-a-binary-tree,1660,Correct a Binary Tree,Medium,74.4
2023-10-29,minimum-knight-moves,1197,Minimum Knight Moves,Medium,40.6
2023-11-01,campus-bikes,1057,Campus Bikes,Medium,58.6
2023-11-08,squirrel-simulation,573,Squirrel Simulation,Medium,57.2
2023-11-15,moving-average-from-data-stream,346,Moving Average from Data Stream,Easy,78.6
2023-11-22,maximum-distance-in-arrays,624,Maximum Distance in Arrays,Medium,42.4
2023-11-29,max-consecutive-ones-ii,487,Max Consecutive Ones II,Medium,50.4
2023-12-01,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,61.8
2023-12-08,maximum-average-subtree,1120,Maximum Average Subtree,Medium,66.6
2023-12-15,best-meeting-point,296,Best Meeting Point,Hard,61.0
2023-12-22,longest-substring-with-at-most-two-distinct-characters,159,Longest Substring with At Most Two Distinct Characters,Medium,55.5
2023-12-29,valid-palindrome-iii,1216,Valid Palindrome III,Hard,49.4
2024-01-01,campus-bikes-ii,1066,Campus Bikes II,Medium,55.2
2024-01-08,leftmost-column-with-at-least-a-one,1428,Leftmost Column with at Least a One,Medium,54.5
2024-01-15,single-row-keyboard,1165,Single-Row Keyboard,Easy,87.5
2024-01-22,minimum-cost-to-connect-sticks,1167,Minimum Cost to Connect Sticks,Medium,70.1
2024-01-29,paint-house,256,Paint House,Medium,62.7
2024-02-01,flip-game,293,Flip Game,Easy,64.6
2024-02-08,paint-fence,276,Paint Fence,Medium,46.8
2024-02-15,remove-interval,1272,Remove Interval,Medium,66.1
2024-02-22,tree-diameter,1245,Tree Diameter,Medium,61.2
2024-02-29,count-nodes-equal-to-sum-of-descendants,1973,Count Nodes Equal to Sum of Descendants,Medium,76.9
2024-03-01,winner-of-the-linked-list-game,3062,Winner of the Linked List Game,Easy,81.2
2024-03-08,linked-list-frequency,3063,Linked List Frequency,Easy,86.4
2024-03-15,meeting-rooms-ii,253,Meeting Rooms II,Medium,51.4
2024-03-22,remove-vowels-from-a-string,1119,Remove Vowels from a String,Easy,91.1
2024-03-29,longest-substring-with-at-most-k-distinct-characters,340,Longest Substring with At Most K Distinct Characters,Medium,48.9
2024-04-01,longest-substring-with-at-most-two-distinct-characters,159,Longest Substring with At Most Two Distinct Characters,Medium,55.5
2024-04-08,verify-preorder-sequence-in-binary-search-tree,255,Verify Preorder Sequence in Binary Search Tree,Medium,50.0
2024-04-15,find-all-the-lonely-nodes,1469,Find All The Lonely Nodes,Easy,83.7
2024-04-22,number-of-islands-ii,305,Number of Islands II,Hard,39.9
2024-04-29,bitwise-or-of-all-subsequence-sums,2505,Bitwise OR of All Subsequence Sums,Medium,68.7
2024-05-01,count-pairs-in-two-arrays,1885,Count Pairs in Two Arrays,Medium,60.8
2024-05-08,minimum-cost-to-buy-apples,2473,Minimum Cost to Buy Apples,Medium,67.9
2024-05-15,number-of-spaces-cleaning-robot-cleaned,2061,Number of Spaces Cleaning Robot Cleaned,Medium,62.6
2024-05-22,word-pattern-ii,291,Word Pattern II,Medium,48.3
2024-05-29,find-the-k-th-lucky-number,2802,Find The K-th Lucky Number,Medium,77.6
2024-06-01,longest-common-subsequence-between-sorted-arrays,1940,Longest Common Subsequence Between Sorted Arrays,Medium,81.3
2024-06-08,substrings-that-begin-and-end-with-the-same-letter,2083,Substrings That Begin and End With the Same Letter,Medium,74.4
2024-06-15,put-boxes-into-the-warehouse-ii,1580,Put Boxes Into the Warehouse II,Medium,66.3
2024-06-22,count-substrings-without-repeating-character,2743,Count Substrings Without Repeating Character,Medium,77.0
2024-06-29,split-bst,776,Split BST,Medium,82.6
2024-07-01,the-earliest-moment-when-everyone-become-friends,1101,The Earliest Moment When Everyone Become Friends,Medium,65.3
2024-07-08,remove-duplicates-from-an-unsorted-linked-list,1836,Remove Duplicates From an Unsorted Linked List,Medium,73.52024-07-15,find-distance-in-a-binary-tree,1740,Find Distance in a Binary Tree,Medium,74.3
2024-07-22,minimum-cost-to-reach-city-with-discounts,2093,Minimum Cost to Reach City With Discounts,Medium,60.1
2024-07-29,toss-strange-coins,1230,Toss Strange Coins,Medium,58.1
2024-08-01,longest-repeating-substring,1062,Longest Repeating Substring,Medium,63.4
2024-08-08,android-unlock-patterns,351,Android Unlock Patterns,Medium,53.7
2024-08-15,minimum-moves-to-get-a-peaceful-board,3189,Minimum Moves to Get a Peaceful Board,Medium,75.9
2024-08-22,generalized-abbreviation,320,Generalized Abbreviation,Medium,60.3
2024-08-29,path-sum-iv,666,Path Sum IV,Medium,62.8
2024-09-01,add-two-polynomials-represented-as-linked-lists,1634,Add Two Polynomials Represented as Linked Lists,Medium,61.0
2024-09-08,meeting-scheduler,1229,Meeting Scheduler,Medium,55.2
2024-09-15,smallest-common-region,1257,Smallest Common Region,Medium,68.3
2024-09-22,longest-word-with-all-prefixes,1858,Longest Word With All Prefixes,Medium,72.0
2024-09-29,implement-trie-ii-prefix-tree,1804,Implement Trie II (Prefix Tree),Medium,63.2
2024-10-01,largest-unique-number,1133,Largest Unique Number,Easy,71.3
2024-10-08,maximum-coins-heroes-can-collect,2838,Maximum Coins Heroes Can Collect,Medium,68.7
2024-10-15,first-unique-number,1429,First Unique Number,Medium,57.0
2024-10-22,the-knights-tour,2664,The Knightâ€™s Tour,Medium,72.6
2024-10-29,paint-house-ii,265,Paint House II,Hard,56.9
2024-11-01,number-of-same-end-substrings,2955,Number of Same-End Substrings,Medium,61.6
2024-11-08,intersection-of-three-sorted-arrays,1213,Intersection of Three Sorted Arrays,Easy,80.0
2024-11-15,number-of-unique-flavors-after-sharing-k-candies,2107,Number of Unique Flavors After Sharing K Candies,Medium,60.5
2024-11-22,minimize-maximum-value-in-a-grid,2371,Minimize Maximum Value in a Grid,Hard,70.2
2024-11-29,distance-to-a-cycle-in-undirected-graph,2204,Distance to a Cycle in Undirected Graph,Hard,73.5
2024-12-01,find-the-celebrity,277,Find the Celebrity,Medium,48.9
2024-12-08,cutting-ribbons,1891,Cutting Ribbons,Medium,53.0
2024-12-15,maximal-range-that-each-element-is-maximum-in-it,2832,Maximal Range That Each Element Is Maximum in It,Medium,75.5
2024-12-22,lowest-common-ancestor-of-a-binary-tree-ii,1644,Lowest Common Ancestor of a Binary Tree II,Medium,69.5
2024-12-29,maximum-subarray-sum-after-one-operation,1746,Maximum Subarray Sum After One Operation,Medium,65.2
2025-01-01,perform-string-shifts,1427,Perform String Shifts,Easy,56.0
2025-01-08,unique-substrings-with-equal-digit-frequency,2168,Unique Substrings With Equal Digit Frequency,Medium,64.5
2025-01-15,shortest-path-to-get-food,1730,Shortest Path to Get Food,Medium,57.1
2025-01-22,sum-of-remoteness-of-all-cells,2852,Sum of Remoteness of All Cells,Medium,70.8
2025-01-29,graph-valid-tree,261,Graph Valid Tree,Medium,49.8
2025-02-01,distinct-numbers-in-each-subarray,1852,Distinct Numbers in Each Subarray,Medium,77.3
2025-02-08,make-the-prefix-sum-non-negative,2599,Make the Prefix Sum Non-negative,Medium,51.9
2025-02-15,design-most-recently-used-queue,1756,Design Most Recently Used Queue,Medium,77.7
2025-02-22,max-consecutive-ones-ii,487,Max Consecutive Ones II,Medium,51.9
2025-03-01,minimum-swaps-to-group-all-1s-together,1151,Minimum Swaps to Group All 1's Together,Medium,61.2
2025-03-08,find-k-length-substrings-with-no-repeated-characters,1100,Find K-Length Substrings With No Repeated Characters,Medium,76.4
2025-03-15,palindrome-permutation,266,Palindrome Permutation,Easy,68.6
2025-03-22,find-the-closest-marked-node,2737,Find the Closest Marked Node,Medium,65.3
2025-03-29,shortest-way-to-form-string,1055,Shortest Way to Form String,Medium,61.5
2025-04-01,shortest-distance-from-all-buildings,317,Shortest Distance from All Buildings,Hard,44.8
2025-04-08,number-of-connected-components-in-an-undirected-graph,323,Number of Connected Components in an Undirected Graph,Medium,64.8
2025-04-15,maximum-size-subarray-sum-equals-k,325,Maximum Size Subarray Sum Equals k,Medium,50.8
2025-04-22,smallest-rectangle-enclosing-black-pixels,302,Smallest Rectangle Enclosing Black Pixels,Hard,60.8
2025-04-29,sparse-matrix-multiplication,311,Sparse Matrix Multiplication,Medium,69.2
2025-05-01,design-snake-game,353,Design Snake Game,Medium,40.0
2025-05-08,logger-rate-limiter,359,Logger Rate Limiter,Easy,76.8
2025-05-15,bomb-enemy,361,Bomb Enemy,Medium,52.8
2025-05-22,first-unique-number,1429,First Unique Number,Medium,57.0
2025-05-29,delete-n-nodes-after-m-nodes-of-a-linked-list,1474,Delete N Nodes After M Nodes of a Linked List,Easy,74.4
2025-06-01,distribute-candies-among-children-iii,2927,Distribute Candies Among Children III,Hard,57.2
2025-06-08,verify-preorder-sequence-in-binary-search-tree,255,Verify Preorder Sequence in Binary Search Tree,Medium,51.7
2025-06-15,equal-tree-partition,663,Equal Tree Partition,Medium,42.3
2025-06-22,k-empty-slots,683,K Empty Slots,Hard,37.9
2025-06-29,convert-binary-search-tree-to-sorted-doubly-linked-list,426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,65.6
2025-07-01,largest-bst-subtree,333,Largest BST Subtree,Medium,45.8
2025-07-08,inorder-successor-in-bst,285,Inorder Successor in BST,Medium,51.1
2025-07-15,word-squares,425,Word Squares,Hard,54.6
2025-07-22,word-abbreviation,527,Word Abbreviation,Hard,62.7
2025-07-29,closest-binary-search-tree-value-ii,272,Closest Binary Search Tree Value II,Hard,61.1
2025-08-01,binary-tree-vertical-order-traversal,314,Binary Tree Vertical Order Traversal,Medium,57.7
2025-08-08,find-smallest-common-element-in-all-rows,1198,Find Smallest Common Element in All Rows,Medium,76.8
2025-08-15,design-file-system,1166,Design File System,Medium,65.1
2025-08-22,before-and-after-puzzle,1181,Before and After Puzzle,Medium,51.8
2025-08-29,shortest-distance-to-target-color,1182,Shortest Distance to Target Color,Medium,56.5
2025-09-01,campus-bikes-ii,1066,Campus Bikes II,Medium,55.9
2025-09-08,largest-unique-number,1133,Largest Unique Number,Easy,71.3
2025-09-15,check-if-a-number-is-majority-element-in-a-sorted-array,1150,Check If a Number Is Majority Element in a Sorted Array,Easy,59.9
2025-09-22,analyze-user-website-visit-pattern,1152,Analyze User Website Visit Pattern,Medium,44.2
2025-09-29,divide-array-into-increasing-sequences,1121,Divide Array Into Increasing Sequences,Hard,65.4
2025-10-01,connecting-cities-with-minimum-cost,1135,Connecting Cities With Minimum Cost,Medium,63.4
2025-10-08,minimize-max-distance-to-gas-station,774,Minimize Max Distance to Gas Station,Hard,53.9
2025-10-15,coin-path,656,Coin Path,Hard,34.2
2025-10-22,dot-product-of-two-sparse-vectors,1570,Dot Product of Two Sparse Vectors,Medium,89.9
2025-10-29,minimum-subarrays-in-a-valid-split,2464,Minimum Subarrays in a Valid Split,Medium,64.7
2025-11-01,maximum-number-of-ones,1183,Maximum Number of Ones,Hard,70.5
2025-11-08,two-sum-iii-data-structure-design,170,Two Sum III - Data structure design,Easy,39.1
2025-11-15,3sum-smaller,259,3Sum Smaller,Medium,51.3
2025-11-22,nested-list-weight-sum-ii,364,Nested List Weight Sum II,Medium,66.7
2025-11-29,range-addition,370,Range Addition,Medium,72.9
2025-12-06,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,62.1
2025-12-01,two-sum-bsts,1214,Two Sum BSTs,Medium,68.1
2025-12-08,minimize-product-sum-of-two-arrays,1874,Minimize Product Sum of Two Arrays,Medium,89.9
2025-12-15,binary-tree-longest-consecutive-sequence,298,Binary Tree Longest Consecutive Sequence,Medium,54.6
2025-12-22,binary-tree-longest-consecutive-sequence-ii,549,Binary Tree Longest Consecutive Sequence II,Medium,50.0
2025-12-29,diet-plan-performance,1176,Diet Plan Performance,Easy,55.8
2026-01-01,design-a-leaderboard,1244,Design A Leaderboard,Medium,68.1
2026-01-08,the-maze,490,The Maze,Medium,60.3
2026-01-15,the-maze-ii,505,The Maze II,Medium,54.9
2026-01-22,the-maze-iii,499,The Maze III,Hard,52.2
2026-01-29,walls-and-gates,286,Walls and Gates,Medium,63.8
2026-02-01,design-hit-counter,362,Design Hit Counter,Medium,69.6
2026-02-08,4-keys-keyboard,651,4 Keys Keyboard,Medium,56.5
2026-02-15,valid-word-square,422,Valid Word Square,Easy,42.4
